"County","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Baldwin County, Georgia",0.0226,0.0023,0.0175,0.4211,0,0.5238
"Cook County, Georgia",0.0578,0.0029,0.0072,0.2692,0,0.6471
"Emanuel County, Georgia",0.045,0.0024,0.0015,0.3387,0,0.5927
"Ben Hill County, Georgia",0.0611,0,0.0069,0.3661,0,0.5584
"Brooks County, Georgia",0.059,0,0.0042,0.3584,5e-04,0.5647
"Charlton County, Georgia",0.0837,0.0178,0.0074,0.2588,0,0.6114
"Early County, Georgia",0.0081,0.0029,0.0055,0.522,0,0.4522
"Clarke County, Georgia",0.108,5e-04,0.0387,0.2767,4e-04,0.5502
"Fayette County, Georgia",0.0723,9e-04,0.044,0.2251,0.0013,0.622
"Burke County, Georgia",0.0323,0,0.0032,0.4806,0,0.4727
"Columbia County, Georgia",0.067,0.0014,0.0376,0.1659,0,0.6867
"Dooly County, Georgia",0.0694,4e-04,1e-04,0.4908,0,0.4259
"Baker County, Georgia",0.0549,3e-04,0.0307,0.3962,0.0067,0.5064
"Dade County, Georgia",0.0228,0,0.0107,0.0065,4e-04,0.9333
"Candler County, Georgia",0.1177,0,0.0019,0.2513,0,0.6064
"Clinch County, Georgia",0.0419,3e-04,0,0.2842,0,0.6512
"Berrien County, Georgia",0.0507,9e-04,0.0111,0.106,0,0.8182
"Stephens County, Georgia",0.0348,0.0017,0.0067,0.119,1e-04,0.8235
"Forsyth County, Georgia",0.095,0.0017,0.1291,0.0332,2e-04,0.717
"Walker County, Georgia",0.0222,0.0016,0.0076,0.0411,1e-04,0.9088
"Glynn County, Georgia",0.0662,0.0035,0.0127,0.2607,0.0012,0.6356
"Habersham County, Georgia",0.1479,9e-04,0.0194,0.0319,0.0018,0.7729
"Pike County, Georgia",0.0163,0,0.0051,0.0894,0,0.8691
"Miller County, Georgia",0.0043,0.0057,0,0.3031,0.0029,0.6798
"McIntosh County, Georgia",0.0028,0.001,0.0133,0.3542,0.0013,0.621
"Paulding County, Georgia",0.0634,0.0024,0.0087,0.1849,4e-04,0.71
"Harris County, Georgia",0.0356,7e-04,0.0103,0.1609,1e-04,0.7688
"Jackson County, Georgia",0.0766,5e-04,0.0178,0.0663,6e-04,0.8135
"Morgan County, Georgia",0.0321,0.0013,7e-04,0.2279,0,0.7195
"Polk County, Georgia",0.1308,0,0.0037,0.1194,2e-04,0.7201
"Thomas County, Georgia",0.0371,0.0013,0.0013,0.3624,5e-04,0.5761
"Laurens County, Georgia",0.0271,8e-04,0.0113,0.3722,2e-04,0.5722
"Turner County, Georgia",0.0477,0,0.0077,0.4029,0,0.5375
"Rabun County, Georgia",0.0801,0.0033,0.0113,0.019,0,0.877
"Walton County, Georgia",0.0439,0.0012,0.0136,0.1763,3e-04,0.7464
"Franklin County, Georgia",0.0459,8e-04,0.0094,0.0931,0,0.8346
"Tattnall County, Georgia",0.1148,0.0022,0.0019,0.2917,2e-04,0.5766
"Gordon County, Georgia",0.1584,1e-04,0.0102,0.0374,7e-04,0.7752
"Quitman County, Georgia",0.0074,0,0.0734,0.519,0.0017,0.3705
"Twiggs County, Georgia",0.0072,0,0.0021,0.4285,0,0.5505
"Lanier County, Georgia",0.0572,0.0016,0.002,0.2439,0,0.6861
"Macon County, Georgia",0.0429,0,0.0039,0.6147,1e-04,0.3233
"Stewart County, Georgia",0.1875,0.0014,0.0323,0.5242,0,0.2338
"Long County, Georgia",0.1128,0.0017,0.0097,0.2482,0.0044,0.5789
"Schley County, Georgia",0.0651,0,0,0.2513,0,0.6799
"Gwinnett County, Georgia",0.2117,0.0017,0.116,0.2702,2e-04,0.3729
"Peach County, Georgia",0.0771,8e-04,0.0101,0.4466,0.001,0.4577
"Terrell County, Georgia",0.0282,0,0.031,0.5811,0,0.3561
"Haralson County, Georgia",0.017,7e-04,0.0041,0.0507,0,0.9087
"Meriwether County, Georgia",0.022,9e-04,0.0025,0.3974,0,0.5635
"Taliaferro County, Georgia",0.0397,0,0.0074,0.6207,0,0.3277
"Lincoln County, Georgia",0.0182,5e-04,0,0.3097,3e-04,0.6618
"Lowndes County, Georgia",0.0566,0.0033,0.0174,0.3636,7e-04,0.5378
"Montgomery County, Georgia",0.0659,0,0.0018,0.2575,0,0.6533
"Rockdale County, Georgia",0.1022,9e-04,0.0198,0.5377,0.002,0.3172
"Henry County, Georgia",0.0682,6e-04,0.0329,0.4343,0,0.4342
"Monroe County, Georgia",0.0232,0.0015,0.0091,0.232,0,0.7241
"Putnam County, Georgia",0.0635,0,0.005,0.262,0,0.6569
"Fulton County, Georgia",0.0722,0.0016,0.0703,0.4361,2e-04,0.3964
"Lamar County, Georgia",0.0245,0.0014,0.0048,0.294,0,0.6516
"Sumter County, Georgia",0.0569,0,0.0136,0.5212,0,0.3938
"Hancock County, Georgia",0.0167,0,0.0036,0.7313,0.0014,0.2431
"Pickens County, Georgia",0.0309,0.0092,0.0043,0.0103,5e-04,0.8662
"Newton County, Georgia",0.0558,0.0016,0.0106,0.4433,8e-04,0.4644
"Union County, Georgia",0.0331,0.0055,0.0031,0.0074,0,0.9386
"Towns County, Georgia",0.0274,0.0035,0.0052,0.0127,0,0.9409
"Telfair County, Georgia",0.1141,3e-04,2e-04,0.385,0,0.4894
"Grady County, Georgia",0.1146,0.0051,0.0056,0.2887,0,0.5797
"Madison County, Georgia",0.0546,0.0034,0.0038,0.1064,0,0.8185
"Warren County, Georgia",0.0047,0,0.006,0.6111,0,0.3749
"Screven County, Georgia",0.0217,0.0017,0.0074,0.4163,0,0.5446
"Gilmer County, Georgia",0.1158,0.0027,0.0045,0.0041,1e-04,0.8587
"Toombs County, Georgia",0.1169,1e-04,0.0091,0.2555,0,0.6024
"Lumpkin County, Georgia",0.0484,0.0022,0.0082,0.0204,0.0014,0.9056
"Muscogee County, Georgia",0.0761,0.004,0.0246,0.4561,0.0014,0.4035
"Richmond County, Georgia",0.0492,0.0024,0.0178,0.5558,0.0021,0.3453
"Houston County, Georgia",0.0653,0.0031,0.0322,0.307,1e-04,0.5625
"Oconee County, Georgia",0.0529,7e-04,0.0368,0.0523,7e-04,0.8414
"Seminole County, Georgia",0.0321,0,0.0078,0.3289,0,0.6151
"Pierce County, Georgia",0.0505,0.0041,0,0.0935,0,0.8403
"Greene County, Georgia",0.0605,0,0.0114,0.35,2e-04,0.5752
"Taylor County, Georgia",0.0262,0,0.0184,0.3796,0,0.5732
"Heard County, Georgia",0.0274,3e-04,0.0053,0.0873,9e-04,0.8476
"Liberty County, Georgia",0.1261,0.0043,0.0196,0.401,0.005,0.3887
"Hall County, Georgia",0.2839,0.0015,0.0178,0.0708,1e-04,0.6082
"Talbot County, Georgia",0.006,3e-04,0.0055,0.5773,0,0.4069
"Mitchell County, Georgia",0.0458,0.0028,0.002,0.4636,5e-04,0.4585
"Upson County, Georgia",0.0231,0.0064,0.0045,0.2714,0.0076,0.6721
"Marion County, Georgia",0.0728,0.0017,0.0091,0.3046,0.0062,0.5923
"Pulaski County, Georgia",0.0313,0.0012,0.0027,0.377,0,0.5739
"Treutlen County, Georgia",0.0132,0,0,0.2637,0,0.7205
"McDuffie County, Georgia",0.0306,0,0.0044,0.399,0.0123,0.5352
"Lee County, Georgia",0.0298,7e-04,0.0245,0.207,0.0012,0.7164
"Oglethorpe County, Georgia",0.0457,4e-04,0.0021,0.1757,0,0.7564
"Irwin County, Georgia",0.0383,0.0012,0.0041,0.2829,0,0.6678
"Glascock County, Georgia",0.0123,0.003,0,0.1021,3e-04,0.8738
"Tift County, Georgia",0.1178,0.0026,0.0135,0.295,0,0.5585
"Murray County, Georgia",0.1504,0.0013,0.0034,0.0104,0,0.8254
"Hart County, Georgia",0.0365,2e-04,0.0093,0.1924,0,0.7481
"Spalding County, Georgia",0.0456,0.004,0.0098,0.3409,0,0.5852
"Randolph County, Georgia",0.0141,0,0,0.624,0,0.3465
"Ware County, Georgia",0.041,0.0056,0.0105,0.2984,6e-04,0.6335
"Troup County, Georgia",0.0368,0.0019,0.0217,0.3611,0,0.5628
