"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Bleckley County, Georgia",3,0.304,4673,58,"Georgia","no",0.528556412053259,"Trump",0.0296,9e-04,0.0024,0.2733,0,0.6856
"Brantley County, Georgia",3,0.218,5116,61,"Georgia","yes",0.812104787714544,"Trump",0.0223,0.0021,0.0107,0.033,0,0.9216
"Brooks County, Georgia",5,0.399,7162,56,"Georgia","yes",0.207013096746937,"Trump",0.059,0,0.0042,0.3584,5e-04,0.5647
"Bryan County, Georgia",3,0.421,18960,47,"Georgia","yes",0.35162877900164,"Trump",0.0708,0.0043,0.0141,0.1385,0,0.7305
"Bulloch County, Georgia",3,0.292,27339,153,"Georgia","no",0.237254901960784,"Trump",0.0399,0.0033,0.0127,0.2776,0.0026,0.6348
"Burke County, Georgia",5,0.414,10694,68,"Georgia","yes",0.0179724796405504,"Trump",0.0323,0,0.0032,0.4806,0,0.4727
"Butts County, Georgia",3,0.284,8260,93,"Georgia","yes",0.435986747090307,"Trump",0.0325,0,0.0042,0.2892,0,0.6603
"Calhoun County, Georgia",3,0.426,3057,20,"Georgia","no",-0.154686078252957,"Biden",0.0474,0,0.0058,0.6031,0,0.3262
"Camden County, Georgia",3,0.337,20860,80,"Georgia","no",0.307438993498269,"Trump",0.0673,0.0052,0.0192,0.1864,0.0011,0.698
"Candler County, Georgia",3,0.366,4687,72,"Georgia","no",0.42067253441661,"Trump",0.1177,0,0.0019,0.2513,0,0.6064
"Carroll County, Georgia",3,0.321,44846,270,"Georgia","yes",0.3899250991335,"Trump",0.0689,0.0043,0.0077,0.1903,9e-04,0.7025
"Catoosa County, Georgia",3,0.335,26197,83,"Georgia","yes",0.559475961095941,"Trump",0.0302,0.0036,0.0132,0.0205,5e-04,0.9095
"Charlton County, Georgia",3,0.196,3098,50,"Georgia","no",0.506567425569177,"Trump",0.0837,0.0178,0.0074,0.2588,0,0.6114
"Chatham County, Georgia",3,0.476,155295,547,"Georgia","yes",-0.187507495802351,"Biden",0.064,0.0023,0.0255,0.3943,0.0011,0.485
