"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",0.00181291001109823,"Trump",17.193234773,3.8166876498,3.9832747549,17.225856154,26.4,244.91293757,4.781007874,17.537587947,3.8019298862,53,5.4292479648,18,80.462621437,83188,0.303,0.897,0.801,2.89,"High"
"yes",0.360196100033051,"Trump",20.50561742,4.8602585518,5.0012395145,24.565245737,32.3,171.85434443,4.0930498306,23.361218629,4.7076905562,47,5.2944389116,19.2,77.642862502,53115,0.162,0.877,0.807,2.28,"Medium"
"yes",0.201776440146079,"Trump",17.821843593,4.3014388761,4.9069211462,23.595182077,25.6,211.60494856,4.2943311582,25.37205953,5.4342900302,49,5.2796976357,25,77.92934474,57640,0.19,0.882,0.845,2.46,"High"
"no",0.050235646958012,"Trump",15.516716662,4.1170309225,4.5246471474,20.145413075,22.6,148.05919077,4.5610436786,23.1964717,4.2195295795,53,5.533152021,18.6,79.647605759,52414,0.311,0.917,0.793,2.32,"High"
"yes",0.078743021331539,"Trump",13.366953794,3.2443284999,3.7446903252,14.834439413,19.4,48.435132991,3.8888796248,12.808080808,3.6970525083,54,4.2275419546,5.6,82.820434156,105600,0.396,0.93,0.918,2.76,"High"
"yes",-0.452330363262509,"Biden",18.585625094,3.7491317977,3.5559406878,14.098319841,27.9,597.78332448,4.880723022,25.597053702,3.4580572004,44,10.058587031,14.4,84.127336734,72975,0.322,0.82,0.835,2.9,"High"
"yes",-0.0562782556133435,"Biden",14.889810925,3.8118354069,4.4939585258,20.399437954,21.3,304.98581425,4.3945613311,22.895655547,3.7723982291,52,4.2438765474,15.1,79.213566097,70688,0.32,0.919,0.85,2.36,"High"
"yes",0.149537596054646,"Trump",16.793000469,3.8552334421,4.2131444964,18.595014438,25.5,597.89466553,5.4440554687,21.548034662,3.861568287,46,5.3072083318,13.9,80.980921851,86624,0.339,0.887,0.817,2.82,"High"
"yes",-0.017397202880913,"Biden",16.244030413,3.6303482483,3.8539920681,14.500217236,24,121.34989065,5.2859675206,12.506478184,3.5635834241,54,5.3490895402,21.6,83.210665076,99831,0.411,0.882,0.822,3.17,"High"
"no",0.116841472376244,"Trump",19.315186562,4.5137269643,4.5816565624,21.640592714,28.4,145.99568116,4.946238159,21.509537033,5.5250150136,54,5.5104386375,27.1,78.910951624,51742,0.414,0.94,0.893,2.38,"High"
