"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household"
"New York County, New York","2",0.698,1308515,4588,"New York","yes",-0.745218044506867,"Biden",0.2583,0.0012,0.1205,0.1247,3e-04,0.4691,15.566019351,3.6125851108,4.0665616209,11.920397584,16.8,586.40744787,9.1468112726,35.153266149,3.5072035172,49,6.1409231214,17.3,85.270363235,93007,0.613,0.873,0.852,2.07
"Niagara County, New York","2",0.568,127299,381,"New York","yes",0.0964546502690238,"Trump",0.0302,0.0098,0.011,0.0689,2e-04,0.8544,17.620147936,4.2333647975,4.7259386725,22.594051992,27.8,394.56884814,4.7783892383,27.17691165,4.9592047456,46,4.4334417712,16.9,78.066950017,56371,0.246,0.912,0.797,2.34
"Oneida County, New York","3",0.528,129962,532,"New York","yes",0.154973894745201,"Trump",0.0577,0.0021,0.0403,0.0568,3e-04,0.8201,18.604369507,4.474678611,4.5150273173,20.598873074,24.8,283.32335058,4.6256872852,26.32152925,4.2809133142,50,4.9501517615,19.3,78.158236577,56516,0.257,0.885,0.807,2.43
"Onondaga County, New York","3",0.639,312691,701,"New York","yes",-0.205657443500117,"Biden",0.0491,0.0049,0.0367,0.1084,2e-04,0.7685,15.223023429,3.8646588423,4.6901844834,17.194446583,21.3,317.56761816,4.9204513285,29.905632646,3.9329128674,55,4.7048264751,18.7,79.65149899,61597,0.359,0.91,0.802,2.39
"Ontario County, New York","3",0.597,68973,95,"New York","yes",0.000234608037001038,"Trump",0.0474,0.0024,0.0137,0.0215,3e-04,0.8984,13.332827767,3.43984186,4.1980792375,18.095747542,21.4,153.29848006,4.1410672854,23.108715184,3.8871428055,54,4.2911164117,10.4,80.000361276,66754,0.363,0.939,0.848,2.36
"Orange County, New York","3",0.546,233329,748,"New York","yes",0.00181291001109823,"Trump",0.2049,0.0023,0.0267,0.0999,3e-04,0.6424,17.193234773,3.8166876498,3.9832747549,17.225856154,26.4,244.91293757,4.781007874,17.537587947,3.8019298862,53,5.4292479648,18,80.462621437,83188,0.303,0.897,0.801,2.89
"Orleans County, New York","3",0.464,20177,83,"New York","yes",0.360196100033051,"Trump",0.0492,0.0033,0.0056,0.0564,0,0.8637,20.50561742,4.8602585518,5.0012395145,24.565245737,32.3,171.85434443,4.0930498306,23.361218629,4.7076905562,47,5.2944389116,19.2,77.642862502,53115,0.162,0.877,0.807,2.28
"Oswego County, New York","3",0.51,63714,100,"New York","yes",0.201776440146079,"Trump",0.0259,0.0013,0.0066,0.0096,1e-04,0.9404,17.821843593,4.3014388761,4.9069211462,23.595182077,25.6,211.60494856,4.2943311582,25.37205953,5.4342900302,49,5.2796976357,25,77.92934474,57640,0.19,0.882,0.845,2.46
"Otsego County, New York","3",0.53,33594,50,"New York","no",0.050235646958012,"Trump",0.0369,8e-04,0.0132,0.0182,1e-04,0.9113,15.516716662,4.1170309225,4.5246471474,20.145413075,22.6,148.05919077,4.5610436786,23.1964717,4.2195295795,53,5.533152021,18.6,79.647605759,52414,0.311,0.917,0.793,2.32
"Putnam County, New York","2",0.623,66702,95,"New York","yes",0.078743021331539,"Trump",0.1497,9e-04,0.0204,0.0273,2e-04,0.7871,13.366953794,3.2443284999,3.7446903252,14.834439413,19.4,48.435132991,3.8888796248,12.808080808,3.6970525083,54,4.2275419546,5.6,82.820434156,105600,0.396,0.93,0.918,2.76
