County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Kings County, New York",18.733240098,3.910971885,4.249554538,15.268122754,24.0,586.18548775,6.8615050724,30.970904091,4.064482206,39,7.8499790704,24.7,82.947002907,66501,New York
"Lewis County, New York",17.406638138,4.1166028504,4.3048192659,21.868104239,28.2,131.55700495,3.5957720116,16.165904637,5.5393335623,55,5.0938212972,18.6,79.052740978,56599,New York
"Livingston County, New York",16.553101726,4.0806805092,4.5096769758,21.371860856,24.4,122.64985794,4.2228841495,22.416998672,4.240708195,51,4.5094428504,16.4,79.611246322,60268,New York
"Madison County, New York",14.212150742,3.4835712547,4.605941483,20.292388676,22.6,151.42316844,4.4026540212,17.542840546,4.4863578099,48,4.8473232727,13.2,81.497817079,61713,New York
"Monroe County, New York",15.988888886,3.7831354545,4.2786016913,18.03860166,20.7,326.25708471,4.9415428049,32.567702786,4.1652133956,53,4.2863748329,18.9,79.757057912,62159,New York
"Montgomery County, New York",20.395811266,4.4844853588,4.7363550319,22.632302035,29.4,142.33654011,4.7405281286,26.747585718,5.0793508473,49,5.3075084895,25.5,77.823550576,52092,New York
"Nassau County, New York",12.63438593,3.108624063,3.6703922895,12.074269951,20.4,143.66338688,4.4941938459,15.147443025,3.4446236362,55,4.6119262372,6.5,83.074313197,117767,New York
"New York County, New York",15.566019351,3.6125851108,4.0665616209,11.920397584,16.8,586.40744787,9.1468112726,35.153266149,3.5072035172,49,6.1409231214,17.3,85.270363235,93007,New York
"Niagara County, New York",17.620147936,4.2333647975,4.7259386725,22.594051992,27.8,394.56884814,4.7783892383,27.17691165,4.9592047456,46,4.4334417712,16.9,78.066950017,56371,New York
"Oneida County, New York",18.604369507,4.474678611,4.5150273173,20.598873074,24.8,283.32335058,4.6256872852,26.32152925,4.2809133142,50,4.9501517615,19.3,78.158236577,56516,New York
"Onondaga County, New York",15.223023429,3.8646588423,4.6901844834,17.194446583,21.3,317.56761816,4.9204513285,29.905632646,3.9329128674,55,4.7048264751,18.7,79.65149899,61597,New York
"Ontario County, New York",13.332827767,3.43984186,4.1980792375,18.095747542,21.4,153.29848006,4.1410672854,23.108715184,3.8871428055,54,4.2911164117,10.4,80.000361276,66754,New York
"Orange County, New York",17.193234773,3.8166876498,3.9832747549,17.225856154,26.4,244.91293757,4.781007874,17.537587947,3.8019298862,53,5.4292479648,18.0,80.462621437,83188,New York
"Orleans County, New York",20.50561742,4.8602585518,5.0012395145,24.565245737,32.3,171.85434443,4.0930498306,23.361218629,4.7076905562,47,5.2944389116,19.2,77.642862502,53115,New York
"Oswego County, New York",17.821843593,4.3014388761,4.9069211462,23.595182077,25.6,211.60494856,4.2943311582,25.37205953,5.4342900302,49,5.2796976357,25.0,77.92934474,57640,New York
"Otsego County, New York",15.516716662,4.1170309225,4.5246471474,20.145413075,22.6,148.05919077,4.5610436786,23.1964717,4.2195295795,53,5.533152021,18.6,79.647605759,52414,New York
"Putnam County, New York",13.366953794,3.2443284999,3.7446903252,14.834439413,19.4,48.435132991,3.8888796248,12.808080808,3.6970525083,54,4.2275419546,5.6,82.820434156,105600,New York
